gene	glucose.kscore	ethanol.kscore
YLR438W	1000.00	0.00
YBR249C	636.73	
YKL120W	636.73	
YHR208W	500.27	0.13
YBR068C	448.33	353.23
YBR069C	448.33	353.23
YDR046C	448.33	353.23
YKR039W	448.33	353.23
YOL020W	448.33	353.23
YDR035W	321.70	
YHR137W	318.45	46.13
YBR117C	303.42	2.94
YPR074C	303.42	2.94
YJR148W	250.27	200.22
YOR311C	167.50	
YER019W	143.59	0.00
YJL121C	136.86	5.11
YPR113W	122.02	363.94
YBR029C	122.02	
YDR367W	109.92	250.25
YKL004W	109.92	250.25
YDR072C	91.73	0.00
YDR454C	61.21	30.96
YDR007W	56.79	42.47
YDR354W	56.79	42.47
YER090W	56.79	42.47
YGL026C	56.79	42.47
YKL211C	56.79	42.47
YGR209C	45.93	222.12
YDR127W	7.36	5.59
YGL148W	7.36	5.59
YBR291C	6.67	
YMR241W	6.67	0.00
YBL068W	6.47	4.94
YER099C	6.47	4.94
YHL011C	6.47	4.94
YKL181W	6.47	4.94
YOL061W	6.47	4.94
YER081W	3.49	5.45
YGR208W	3.49	5.45
YIL074C	3.49	5.45
YOR184W	3.49	5.45
YPR021C	3.10	0.14
YPR035W	2.77	2.19
YOR095C	2.22	5.14
YDR384C	1.20	1.03
YGR121C	1.20	1.03
YNL142W	1.20	1.03
YPR138C	1.20	1.03
YCR024C-A	1.17	
YEL017C-A	1.17	
YGL008C	1.17	
YPL036W	1.17	
YBR196C	1.14	
YLL052C	1.11	1.10
YPR192W	1.11	1.10
YLR354C	1.07	
YDL085W	1.07	1.18
YMR145C	1.07	1.18
YGR248W	1.06	
YGR256W	1.06	
YHR163W	1.06	
YHR183W	1.06	
YNL241C	1.06	
YER070W	0.52	0.43
YGR180C	0.52	0.43
YIL066C	0.52	0.43
YJL026W	0.52	0.43
YBR218C	0.51	636.73
YGL062W	0.51	636.73
YEL039C	0.49	
YJR048W	0.49	
YOR222W	0.45	0.30
YPL134C	0.45	0.30
YAL038W	0.39	
YOR347C	0.39	
YOL126C	0.25	1.36
YBR252W	0.00	15.61
YDL174C	0.00	
YDR272W	0.00	
YDR300C	0.00	1000.00
YEL071W	0.00	
YKL029C	0.00	45.95
YML004C	0.00	
YOR323C	0.00	1000.00
YDL078C	1000.00	
YER170W	1000.00	
YGL080W	1000.00	
YGL205W	1000.00	
YGR243W	1000.00	
YHR002W	1000.00	
YHR162W	1000.00	
YIL160C	1000.00	
YKL188C	1000.00	
YKR009C	1000.00	
YKR080W	1000.00	
YLR056W	1000.00	
YLR109W	1000.00	
YLR284C	1000.00	
YLR348C	1000.00	
YMR015C	1000.00	
YMR272C	1000.00	
YNL009W	1000.00	
YNL202W	1000.00	
YOR180C	1000.00	
YPL147W	1000.00	
YBL015W	636.39	
YNL117W	500.53	
YDR297W	500.50	
YMR165C	500.50	
YMR208W	500.26	
YAL054C	500.24	
YLR027C	500.22	
YLR304C	500.02	
YGR204W	500.01	
YJR139C	500.00	
YML126C	500.00	
YNL104C	500.00	
YPL028W	500.00	
YBR183W	364.27	
YLR043C	334.39	
YMR246W	333.67	
YOR317W	333.67	
YGR170W	318.86	
YOR245C	309.58	
YCR048W	258.08	
YNR019W	258.08	
YMR202W	38.00	
YML008C	17.67	
YGL055W	6.31	
YKL182W	4.10	
YPL231W	4.10	
YDR353W	2.61	
YLR058C	2.44	
YKR097W	1.58	
YMR170C	1.29	
YGR254W	1.23	
YHR174W	1.23	
YKL152C	1.23	
YIR031C	1.07	
YKL060C	1.03	
YLR377C	1.03	
YDR050C	1.03	
YER065C	1.03	
YCR012W	1.01	
YGR192C	1.01	
YJL052W	1.01	
YJR009C	1.01	
YDR226W	0.55	
YER091C	0.54	
YGL125W	0.54	
YPL023C	0.54	
YDR502C	0.53	
YER043C	0.53	
YJR105W	0.53	
YLR180W	0.53	
YBL039C	0.51	
YJR103W	0.51	
YDL022W	0.50	
YOL059W	0.50	
YLR153C	0.49	
YJL153C	0.46	
YPL087W	0.42	
YDR287W	0.41	
YHR046C	0.41	
YPL061W	0.36	
YER069W	0.27	
YMR062C	0.27	
YOL140W	0.27	
YOR130C	0.27	
YFL030W	0.06	
YNL037C	0.03	
YOR136W	0.03	
YAL044C	0.00	
YAR035W	0.00	
YBR036C	0.00	
YBR084W	0.00	
YBR161W	0.00	
YDR019C	0.00	
YDR148C	0.00	
YER024W	0.00	
YFL018C	0.00	
YHR144C	0.00	
YIL125W	0.00	
YLR089C	0.00	
YLR174W	0.00	
YML042W	0.00	
YMR189W	0.00	
YNL169C	0.00	
YOR100C	0.00	
YOR108W	0.00	
YPL057C	0.00	
